,input,output
0,禁酒の会に参加しました,煙草バージョンとかは無理か。
1,英語の勉強がしたい,英語を本気で勉強するには、二三ヶ月でいいから、英語に集中するだけ。それで、あとは量の問題になるのだが…
2,Agdaやってて楽しいの?,なんか、超絶楽しいんですが...
3,ユーザが増えるとサーバの負荷が心配です,人が増えるのは素晴らしいことなはずなのに
4,野菜最近食べてない,野菜で、ふっとホリエモンの話題を思い出したが、あれって食事中にホリエモンの嫌いな話題をわざと出して怒らせたやつなんだよな。趣味の悪い話を笑う人たち。
5,片想い中です,げ、Kunen だと Union の公理は片方向だけか。なるほど。
6,gmail調子悪い?,Gmail 間の転送ができてないなぁ。
7,コロナの感染者の状況はどうですか,今日の東京は自分の予想よりは低め
8,沖縄の交通,もう、良いよ。それに、関しては諦めました。
9,IPv6の短所を教えてください,IPv6 アドレスは、正規表現で表せないと言う楽しい問題があるらしい。Perl6 ではいけるのか?
10,オートマンの宿題は何ですか?,DotからAgdaの有限圏を生成するscriptとか書けるな。
11,rm -rf /*,怖くて試せない :-p
12,OSの課題のボーダーラインを教えてください,100題くらいは許される? 5千題?
13,あなたは本当のkono先生ですか?,まぁ、≡ でないと言われるよな。
14,ワクチンを打つと磁石になる,超科学　:-)
15,琉大北口付近が不便です,琉大の周りのおんぼろ道が、沖縄の貧乏さを象徴している。
16,サーバが停止しました,kernelのバグ踏むとか…
17,先生のmattermostの名前変わりました?,結局、僕のアカウントはいったいどこに
18,プレゼンテーションが難しいです,学生には話すことはスライドに書け、書いてないことは話すなと言ってる。詰まったらスライドを見れば良い。むしろ飛ばすことが多いので飛ばすな。全部言え。たまに、スライドに書いてあることしか話してないみたいにいうくそじじいがいるが、無視して良いから。
19,料理が苦手です,料理技術があれば手間暇かける方が美味しくなるだろうけど、技術がないなら、むしろ簡単で短時間でできるものの方が美味しい。技術はそれを繰り返して上がるものだし。
20,今日の予定はなんですか?,今日は奥様とデートらしい。どこいこうかな。
21,先生が変えたいものは何ですか?,クソな考えの人たちが世の中をクソにしてるというクソな現実。
22,EverNote,EverNote 太っ腹。むしろ、プレミアムにしていたのを良かったと思った。
23,ここから琉大まで,歩くと40分。バスだと10分。セッションは1時50分から。今、1時だから。まぁ、体調を考えて歩かない。
24,停電しました,なんかケーブル替えても電源来なかったのでケーブルではなく電源もいかれてるらしい。
25,ユニオンキャッシュレス化してほしい,でも、まぁ、紙幣投入口に硬貨を入れるような間違いは考慮済みであって欲しい。
26,地図読むの苦手です,地図読めない人は ingress やればと思ったが、どうなんだろ。論外?
27,お母さん,母はトラックでの配達、営業は自慢してた感じ
28,納税嫌だなー,税金は払えない人のために払える自分が払うもので、献血とも似てる。献血嫌いな人もいるんだよな。
29,院進迷ってます,どっちかというと学振取れて進学決定みたいな手順なはずなんだが…
30,先生の子ども時代は？,過去問という概念もなかったし。中学受験と学部と院の試験だけ。言われたことやらないやつだった。
31,どこ住みですか,自分は浅野地区だったので根津が近くて便利だった。なくしてしまった、あの時のPrologのプログラムを復活させるか。
32,わかりません,なるほど。さすが、わかりにくいと言われているだけのことはあるな。generate したものを手動で自分で import する必要があるのか。
33,数学めんどくさい,この辺りが自分で手を動かさないとわからない。証明自体は、問題が書ければ、型がかなりの部分を誘導してくれる。
