artificial_line,reply
OSの課題のボーダーラインを教えてください,100題くらいは許される? 5千題?
あなたは本当のkono先生ですか?,まぁ、≡ でないと言われるよな。
ワクチンを打つと磁石になる,超科学　:-)
琉大北口付近が不便です,琉大の周りのおんぼろ道が、沖縄の貧乏さを象徴している。
サーバが停止しました,kernelのバグ踏むとか…
先生のmattermostの名前変わりました?,結局、僕のアカウントはいったいどこに
プレゼンテーションが難しいです,学生には話すことはスライドに書け、書いてないことは話すなと言ってる。詰まったらスライドを見れば良い。むしろ飛ばすことが多いので飛ばすな。全部言え。たまに、スライドに書いてあることしか話してないみたいにいうくそじじいがいるが、無視して良いから。
料理が苦手です,料理技術があれば手間暇かける方が美味しくなるだろうけど、技術がないなら、むしろ簡単で短時間でできるものの方が美味しい。技術はそれを繰り返して上がるものだし。
今日の予定はなんですか?,今日は奥様とデートらしい。どこいこうかな。
先生が変えたいものは何ですか?,クソな考えの人たちが世の中をクソにしてるというクソな現実。
EverNote,EverNote 太っ腹。むしろ、プレミアムにしていたのを良かったと思った。
ここから琉大まで,歩くと40分。バスだと10分。セッションは1時50分から。今、1時だから。まぁ、体調を考えて歩かない。
停電しました,なんかケーブル替えても電源来なかったのでケーブルではなく電源もいかれてるらしい。
ユニオンキャッシュレス化してほしい,でも、まぁ、紙幣投入口に硬貨を入れるような間違いは考慮済みであって欲しい。
地図読むの苦手です,地図読めない人は ingress やればと思ったが、どうなんだろ。論外?
